policy,gamma,model_seed,total_cost,trace_seed
greedy8,0.97,811,92.59048941731453,3311002
greedy8,0.97,811,103.71594455838203,3311003
greedy8,0.97,811,100.29432327260652,3311004
greedy8,0.97,811,77.97280464321375,3311005
greedy8,0.97,811,86.19521227478981,3311006
greedy8,0.97,811,82.46675799787045,3311007
greedy8,0.97,811,95.60742470622063,3311008
greedy8,0.97,811,81.27951765954495,3311009
greedy8,0.97,811,107.9773935675621,3311010
greedy8,0.97,811,83.20665900558234,3311011
greedy8,0.97,811,81.32201661169529,3311012
greedy8,0.97,811,102.18800856214108,3311013
greedy8,0.97,811,111.38710571587676,3311014
greedy8,0.97,811,97.14143114562265,3311015
greedy8,0.97,811,79.65350956022739,3311016
greedy8,0.97,811,96.44970221221448,3311017
greedy8,0.97,811,75.37115705013275,3311018
greedy8,0.97,811,94.46983740322092,3311019
greedy8,0.97,812,77.15660470724106,3312000
greedy8,0.97,812,112.86298797307495,3312001
greedy8,0.97,812,104.10360120197834,3312002
greedy8,0.97,812,76.8928427040577,3312003
greedy8,0.97,812,77.0637284681201,3312004
greedy8,0.97,812,80.29786664460582,3312005
greedy8,0.97,812,68.66905779391527,3312006
greedy8,0.97,812,95.21597161544203,3312007
greedy8,0.97,812,68.33465561419726,3312008
greedy8,0.97,812,103.67107536215985,3312009
greedy8,0.97,812,86.97897136211395,3312010
greedy8,0.97,812,91.33147198034075,3312011
greedy8,0.97,812,107.4874751005302,3312012
greedy8,0.97,812,93.6248324662447,3312013
greedy8,0.97,812,78.0111605077982,3312014
greedy8,0.97,812,70.66274535353642,3312015
greedy8,0.97,812,92.38634824545707,3312016
greedy8,0.97,812,83.35378094017506,3312017
greedy8,0.97,812,74.68606616556644,3312018
greedy8,0.97,812,76.59033066183329,3312019
greedy8,0.97,813,84.1457886248827,3313000
greedy8,0.97,813,75.29870154857636,3313001
greedy8,0.97,813,94.40032783150673,3313002
greedy8,0.97,813,90.87296922504902,3313003
greedy8,0.97,813,92.3705687077671,3313004
greedy8,0.97,813,75.52625571936369,3313005
greedy8,0.97,813,92.06976143419743,3313006
greedy8,0.97,813,104.05805768370628,3313007
greedy8,0.97,813,92.30479583442211,3313008
greedy8,0.97,813,79.74181514233351,3313009
greedy8,0.97,813,96.06403227778192,3313010
greedy8,0.97,813,83.39588328748941,3313011
greedy8,0.97,813,88.1832267204329,3313012
greedy8,0.97,813,93.38370962440968,3313013
greedy8,0.97,813,90.42110375463963,3313014
greedy8,0.97,813,82.45031607151031,3313015
greedy8,0.97,813,85.11047933995724,3313016
greedy8,0.97,813,76.64489019662142,3313017
greedy8,0.97,813,108.58784763514996,3313018
greedy8,0.97,813,95.93618256151676,3313019
greedy8,0.97,814,61.9158896908164,3314000
greedy8,0.97,814,68.83811345100403,3314001
greedy8,0.97,814,111.69104350404795,3314002
greedy8,0.97,814,90.59776969148542,3314003
greedy8,0.97,814,81.02900179922581,3314004
greedy8,0.97,814,80.57835460603238,3314005
greedy8,0.97,814,86.39174195528031,3314006
greedy8,0.97,814,80.1172508597374,3314007
greedy8,0.97,814,84.83754736930132,3314008
greedy8,0.97,814,83.43015715479851,3314009
greedy8,0.97,814,92.25312841832638,3314010
greedy8,0.97,814,86.70623017400504,3314011
greedy8,0.97,814,69.59104574471712,3314012
greedy8,0.97,814,100.89082022756338,3314013
greedy8,0.97,814,99.58219428360462,3314014
greedy8,0.97,814,110.4611031989803,3314015
greedy8,0.97,814,77.78765993565321,3314016
greedy8,0.97,814,87.41941864752769,3314017
greedy8,0.97,814,85.86162943542004,3314018
greedy8,0.97,814,97.06686667899292,3314019
greedy8,0.97,815,93.29270472526551,3315000
greedy8,0.97,815,81.61590752750635,3315001
greedy8,0.97,815,84.25942928466455,3315002
greedy8,0.97,815,102.03953197598457,3315003
greedy8,0.97,815,94.0804152444005,3315004
greedy8,0.97,815,87.28578004986048,3315005
greedy8,0.97,815,100.75988921523094,3315006
greedy8,0.97,815,75.45720061659813,3315007
greedy8,0.97,815,95.84922258000533,3315008
greedy8,0.97,815,93.29764151686443,3315009
greedy8,0.97,815,88.34463275969028,3315010
greedy8,0.97,815,75.91676099002362,3315011
greedy8,0.97,815,86.8599120453,3315012
greedy8,0.97,815,86.21980950385333,3315013
greedy8,0.97,815,90.13402300477028,3315014
greedy8,0.97,815,79.78054001927376,3315015
greedy8,0.97,815,78.13414670526981,3315016
greedy8,0.97,815,111.37321587139157,3315017
greedy8,0.97,815,93.49727793037891,3315018
greedy8,0.97,815,69.84182881861925,3315019
greedy8,0.97,816,92.59650486707687,3316000
greedy8,0.97,816,89.96542929328673,3316001
greedy8,0.97,816,69.34635415673256,3316002
greedy8,0.97,816,79.4077145382762,3316003
greedy8,0.97,816,87.6841361373663,3316004
greedy8,0.97,816,77.96694569587707,3316005
greedy8,0.97,816,72.58924298733473,3316006
greedy8,0.97,816,92.72206716537475,3316007
greedy8,0.97,816,83.37670117616653,3316008
greedy8,0.97,816,100.06445132493972,3316009
greedy8,0.97,816,82.65363039821386,3316010
greedy8,0.97,816,69.51092176884413,3316011
greedy8,0.97,816,76.88867665827274,3316012
greedy8,0.97,816,78.36428701132536,3316013
greedy8,0.97,816,95.82190611958504,3316014
greedy8,0.97,816,80.56636670976877,3316015
greedy8,0.97,816,88.50718259066343,3316016
greedy8,0.97,816,92.97219766182258,3316017
greedy8,0.97,816,80.53383792936802,3316018
greedy8,0.97,816,89.43331100046635,3316019
greedy8,0.97,817,100.67733603033668,3317000
greedy8,0.97,817,94.41451502591701,3317001
greedy8,0.97,817,93.6628928795457,3317002
greedy8,0.97,817,80.20935951173306,3317003
greedy8,0.97,817,85.96869731843472,3317004
greedy8,0.97,817,109.03973776102066,3317005
greedy8,0.97,817,82.70365400016308,3317006
greedy8,0.97,817,96.89919019639493,3317007
greedy8,0.97,817,94.49426768808118,3317008
greedy8,0.97,817,56.5915747448802,3317009
greedy8,0.97,817,86.69688599173632,3317010
greedy8,0.97,817,97.27534455040283,3317011
greedy8,0.97,817,99.43022864799842,3317012
greedy8,0.97,817,104.2830563972251,3317013
greedy8,0.97,817,89.7587985098362,3317014
greedy8,0.97,817,96.89776523411274,3317015
greedy8,0.97,817,97.1369568631053,3317016
greedy8,0.97,817,96.26744185388088,3317017
greedy8,0.97,817,87.82401326298714,3317018
greedy8,0.97,817,71.28095976412297,3317019
greedy8,0.97,818,84.68171188384295,3318000
greedy8,0.97,818,82.81245836168527,3318001
greedy8,0.97,818,83.13600700497628,3318002
greedy8,0.97,818,93.81649826467037,3318003
greedy8,0.97,818,86.72058892250061,3318004
greedy8,0.97,818,76.23541726819646,3318005
greedy8,0.97,818,103.32951509207487,3318006
greedy8,0.97,818,78.16048882305623,3318007
greedy8,0.97,818,85.77110269069672,3318008
greedy8,0.97,818,89.85483715683222,3318009
greedy8,0.97,818,86.01763518154621,3318010
greedy8,0.97,818,92.19090704768897,3318011
greedy8,0.97,818,114.42504869466062,3318012
greedy8,0.97,818,85.67953310906887,3318013
greedy8,0.97,818,105.5806086728617,3318014
greedy8,0.97,818,83.36176703423261,3318015
greedy8,0.97,818,63.7371592015028,3318016
greedy8,0.97,818,76.25197633504868,3318017
greedy8,0.97,818,106.5576016753912,3318018
greedy8,0.97,818,106.82879978731954,3318019
greedy8,0.97,819,83.13260579112675,3319000
greedy8,0.97,819,99.5324820953814,3319001
greedy8,0.97,819,85.77943264543913,3319002
greedy8,0.97,819,79.9441831111908,3319003
greedy8,0.97,819,93.67828785525033,3319004
greedy8,0.97,819,83.81571401059628,3319005
greedy8,0.97,819,79.51297231316566,3319006
greedy8,0.97,819,101.4298173900912,3319007
greedy8,0.97,819,90.27974854955649,3319008
greedy8,0.97,819,90.3125817924738,3319009
greedy8,0.97,819,88.29281252829836,3319010
greedy8,0.97,819,82.4276606887579,3319011
greedy8,0.97,819,78.2793136754381,3319012
greedy8,0.97,819,88.51984345167875,3319013
greedy8,0.97,819,76.23012986779213,3319014
greedy8,0.97,819,96.35865931212902,3319015
greedy8,0.97,819,72.53112352639437,3319016
greedy8,0.97,819,82.14305967390537,3319017
greedy8,0.97,819,76.6311655804515,3319018
greedy8,0.97,819,84.17933800965548,3319019
